skuid,skuPartNumber,skuDisplayName
fe71d6c3-a2ea-4499-9778-da042bf08063,SHAREPOINT_PROJECT,SHAREPOINT_PROJECT
a361d6e2-509e-4e25-a8ad-950060064ef4,SHAREPOINT_S_DEVELOPER,SHAREPOINT_S_DEVELOPER
,SHAREPOINTDESKLESS,SharePoint Online Kiosk
,SHAREPOINTDESKLESS_GOV,SharePoint Online Kiosk
a9732ec9-17d9-494c-a51c-d6b45b384dcb,SHAREPOINTENTERPRISE,SHAREPOINT ONLINE (PLAN 2)
,SHAREPOINTENTERPRISE_GOV,SharePoint Plan 2G
,SHAREPOINTENTERPRISE_MIDMARKET,SharePoint Online (Plan 1)
,SHAREPOINTLITE,SharePoint Online (Plan 1)
1fc08a02-8b3d-43b9-831e-f76859e04e1a,SHAREPOINTSTANDARD,SHAREPOINT ONLINE (PLAN 1)
,SHAREPOINTSTORAGE,SharePoint storage
,SHAREPOINTWAC,Office Online
527f7cdd-0e86-4c47-b879-f5fd357a3ac6,SHAREPOINTWAC_DEVELOPER,OFFICE ONLINE FOR DEVELOPER
,SHAREPOINTWAC_GOV,Office Online for Government
3a256e9a-15b6-4092-b0dc-82993f4debc6,SKU_Dynamics_365_for_HCM_Trial,Dynamics 365 for Talent
b214fe43-f5a3-4703-beeb-fa97188220fc,SMB_BUSINESS,OFFICE 365 BUSINESS
dab7782a-93b1-4074-8bb1-0e61318bea0b,SMB_BUSINESS_ESSENTIALS,OFFICE 365 BUSINESS ESSENTIALS
ac5cef5d-921b-4f97-9ef3-c99076e5470f,SMB_BUSINESS_PREMIUM,OFFICE 365 BUSINESS PREMIUM
c6df1e30-1c9f-427f-907c-3d913474a1c7,SOCIAL_ENGAGEMENT_APP_USER,Dynamics 365 AI for Market Insights (Preview)
cbdc14ab-d96c-4c30-b9f4-6ada7cdc1d46,SPB,MICROSOFT 365 BUSINESS
05e9a617-0261-4cee-bb44-138d3ef5d965,SPE_E3,MICROSOFT 365 E3
d61d61cc-f992-433f-a577-5bd016037eeb,SPE_E3_USGOV_DOD,Microsoft 365 E3_USGOV_DOD
ca9d1dd9-dfe9-4fef-b97c-9bc1ea3c3658,SPE_E3_USGOV_GCCHIGH,Microsoft 365 E3_USGOV_GCCHIGH
06ebc4ee-1bb5-47dd-8120-11324bc54e06,SPE_E5,Microsoft 365 E5
66b55226-6b4f-492c-910c-a3b7a3c9d993,SPE_F1,Microsoft 365 F1
8f0c5670-4e56-4892-b06d-91c085d7004f,SPZA_IW,App Connect
fc0a60aa-feee-4746-a0e3-aecfe81a38dd,SQL_IS_SSIM,MICROSOFT POWER BI INFORMATION SERVICES PLAN
,STANDARD_B_PILOT,Office 365 (Small Business Preview)
18181a46-0d4e-45cd-891e-60aabd171b4e,STANDARDPACK,OFFICE 365 ENTERPRISE E1
,STANDARDPACK_FACULTY,Office 365 (Plan A1) for Faculty
,STANDARDPACK_GOV,Microsoft Office 365 (Plan G1) for Government
,STANDARDPACK_STUDENT,Office 365 (Plan A1) for Students
6634e0ce-1a9f-428c-a498-f84ec7b8aa2e,STANDARDWOFFPACK,OFFICE 365 ENTERPRISE E2
,STANDARDWOFFPACK_FACULTY,Office 365 Education E1 for Faculty
,STANDARDWOFFPACK_GOV,Microsoft Office 365 (Plan G2) for Government
,STANDARDWOFFPACK_IW_FACULTY,Office 365 Education for Faculty
,STANDARDWOFFPACK_IW_STUDENT,Office 365 Education for Students
,STANDARDWOFFPACK_STUDENT,Microsoft Office 365 (Plan A2) for Students
,STANDARDWOFFPACKPACK_FACULTY,Office 365 (Plan A2) for Faculty
,STANDARDWOFFPACKPACK_STUDENT,Office 365 (Plan A2) for Students
1f2f344a-700d-42c9-9427-5cea1d5d7ba6,STREAM,Microsoft Stream Trial
743dd19e-1ce3-4c62-a3ad-49ba8f63a2f6,STREAM_O365_E1,MICROSOFT STREAM FOR O365 E1 SKU
9e700747-8b1d-45e5-ab8d-ef187ceec156,STREAM_O365_E3,MICROSOFT STREAM FOR O365 E3 SKU
6c6042f5-6f01-4d67-b8c1-eb99d36eed3e,STREAM_O365_E5,MICROSOFT STREAM FOR O365 E5 SKU
3ffba0d2-38e5-4d5e-8ec0-98f2b05c09d9,STREAM_O365_K,MICROSOFT STREAM FOR O365 K SKU
a23b959c-7ce8-4e57-9140-b90eb88a9e97,SWAY,SWAY
fd500458-c24c-478e-856c-a6067a8376cd,TEAMS_AR_DOD,Microsoft Teams for DOD (AR)
9953b155-8aef-4c56-92f3-72b0487fce41,TEAMS_AR_GCCHIGH,Microsoft Teams for GCCHigh (AR)
29a2f828-8f39-4837-b8ff-c957e86abe3c,TEAMS_COMMERCIAL_TRIAL,Microsoft Teams Commercial Cloud (User Initiated)
,TEAMS1,Microsoft Teams
8e0c0a52-6a6c-4d40-8370-dd62790dcd70,THREAT_INTELLIGENCE,OFFICE 365 ADVANCED THREAT PROTECTION (PLAN 2)
e7c91390-7625-45be-94e0-e16907e03118,Virtualization Rights for Windows 10 (E3/E5+VDA),Windows 10 Enterprise (New)
663a804f-1c30-4ff0-9915-9db84f0d1cea,VISIO_CLIENT_SUBSCRIPTION,VISIO_CLIENT_SUBSCRIPTION
c5928f49-12ba-48f7-ada3-0d743a3601d5,VISIOCLIENT,VISIO Online Plan 2
2bdbaf8f-738f-4ac7-9234-3c3ee2ce7d0f,VISIOONLINE,VISIOONLINE
4b244418-9658-4451-a2b8-b5e2b364e9bd,VISIOONLINE_PLAN1,VISIO ONLINE PLAN 1
ed01faf2-1d88-4947-ae91-45ca18703a96,WACONEDRIVEENTERPRISE,ONEDRIVE FOR BUSINESS (PLAN 2)
e6778190-713e-4e4f-9119-8b8238de25df,WACONEDRIVESTANDARD,ONEDRIVE FOR BUSINESS (PLAN 1)
36b29273-c6d0-477a-aca6-6fbe24f538e3,WHITEBOARD_FIRSTLINE1,Whiteboard (Firstline)
4a51bca5-1eff-43f5-878c-177680f191af,WHITEBOARD_PLAN3,Whiteboard (Plan 3)
1e7e1070-8ccb-4aca-b470-d7cb538cb07e,WIN_ENT_E5,Windows 10 Enterprise E5
e041597c-9c7f-4ed9-99b0-2663301576f7,WIN10_ENT_LOC_F1,Windows 10 Enterprise E3 (local only)
